zipcode,income_level,grade,borough,cuisine_description,score
10001,high income,A,MANHATTAN,American,8.83
10001,high income,A,MANHATTAN,Caf̩/Coffee/Tea,8.3
10001,high income,A,MANHATTAN,Chinese,12.25
10001,high income,A,MANHATTAN,Delicatessen,10.5
10001,high income,A,MANHATTAN,Donuts,10.43
10001,high income,A,MANHATTAN,French,10.0
10001,high income,A,MANHATTAN,Japanese,8.0
10001,high income,A,MANHATTAN,Korean,9.61
10001,high income,A,MANHATTAN,Mediterranean,10.0
10001,high income,A,MANHATTAN,Mexican,8.0
10001,high income,A,MANHATTAN,Pizza,7.91
10001,high income,A,MANHATTAN,Pizza/Italian,10.0
10001,high income,A,MANHATTAN,Portuguese,11.33
10001,high income,A,MANHATTAN,Salads,8.5
10001,high income,A,MANHATTAN,Sandwiches,8.33
10001,high income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,8.67
10001,high income,A,MANHATTAN,Seafood,10.75
10001,high income,B,MANHATTAN,American,22.0
10001,high income,B,MANHATTAN,Chinese,27.0
10001,high income,B,MANHATTAN,Delicatessen,17.0
10001,high income,B,MANHATTAN,French,14.0
10001,high income,B,MANHATTAN,Korean,22.67
10001,high income,C,MANHATTAN,French,32.0
10001,high income,C,MANHATTAN,Korean,30.0
10001,high income,C,MANHATTAN,Salads,5.0
10001,high income,Z,MANHATTAN,Chinese,50.0
10001,medium income,A,MANHATTAN,American,9.92
10001,medium income,A,MANHATTAN,Asian,10.33
10001,medium income,A,MANHATTAN,Caf̩/Coffee/Tea,9.0
10001,medium income,A,MANHATTAN,Chinese,9.33
10001,medium income,A,MANHATTAN,Delicatessen,9.8
10001,medium income,A,MANHATTAN,Italian,8.75
10001,medium income,A,MANHATTAN,Japanese,9.33
10001,medium income,A,MANHATTAN,Sandwiches,7.0
10001,medium income,A,MANHATTAN,Spanish,9.0
10001,medium income,B,MANHATTAN,American,17.5
10001,medium income,B,MANHATTAN,Asian,14.0
10001,medium income,B,MANHATTAN,Japanese,17.0
10001,medium income,C,MANHATTAN,Chinese,28.33
10001,medium income,C,MANHATTAN,Delicatessen,43.0
10002,high income,A,MANHATTAN,American,7.61
10002,high income,A,MANHATTAN,Asian,9.0
10002,high income,A,MANHATTAN,Bakery,9.59
10002,high income,A,MANHATTAN,Brazilian,11.0
10002,high income,A,MANHATTAN,Caf̩/Coffee/Tea,4.9
10002,high income,A,MANHATTAN,Chicken,8.67
10002,high income,A,MANHATTAN,Chinese,10.29
10002,high income,A,MANHATTAN,French,8.0
10002,high income,A,MANHATTAN,Fruits/Vegetables,11.0
10002,high income,A,MANHATTAN,German,8.75
10002,high income,A,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",8.0
10002,high income,A,MANHATTAN,Mexican,7.5
10002,high income,A,MANHATTAN,Pizza,11.25
10002,high income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,7.0
10002,high income,A,MANHATTAN,Spanish,8.67
10002,high income,B,MANHATTAN,American,20.0
10002,high income,B,MANHATTAN,Bakery,17.2
10002,high income,B,MANHATTAN,Brazilian,19.0
10002,high income,B,MANHATTAN,Chinese,22.5
10002,high income,B,MANHATTAN,Fruits/Vegetables,20.0
10002,high income,B,MANHATTAN,Pizza,17.0
10002,high income,C,MANHATTAN,Bakery,31.0
10002,high income,P,MANHATTAN,Brazilian,2.0
10002,high income,Z,MANHATTAN,Asian,9.0
10003,high income,A,MANHATTAN,American,9.26
10003,high income,A,MANHATTAN,Asian,9.38
10003,high income,A,MANHATTAN,Bakery,10.0
10003,high income,A,MANHATTAN,Bangladeshi,8.17
10003,high income,A,MANHATTAN,Barbecue,9.22
10003,high income,A,MANHATTAN,"Bottled beverages, including water, sodas, juices, etc.",8.88
10003,high income,A,MANHATTAN,Caf̩/Coffee/Tea,7.55
10003,high income,A,MANHATTAN,Chinese,9.3
10003,high income,A,MANHATTAN,Delicatessen,11.22
10003,high income,A,MANHATTAN,Donuts,9.0
10003,high income,A,MANHATTAN,Eastern European,9.33
10003,high income,A,MANHATTAN,French,8.75
10003,high income,A,MANHATTAN,Hamburgers,9.78
10003,high income,A,MANHATTAN,Hotdogs,7.33
10003,high income,A,MANHATTAN,Hotdogs/Pretzels,8.0
10003,high income,A,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",7.77
10003,high income,A,MANHATTAN,Indian,9.0
10003,high income,A,MANHATTAN,Irish,10.0
10003,high income,A,MANHATTAN,Italian,9.98
10003,high income,A,MANHATTAN,Japanese,10.0
10003,high income,A,MANHATTAN,Jewish/Kosher,9.6
10003,high income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10.33
10003,high income,A,MANHATTAN,Mediterranean,10.0
10003,high income,A,MANHATTAN,Mexican,9.82
10003,high income,A,MANHATTAN,Moroccan,11.67
10003,high income,A,MANHATTAN,Peruvian,6.5
10003,high income,A,MANHATTAN,Pizza,10.65
10003,high income,A,MANHATTAN,Pizza/Italian,10.25
10003,high income,A,MANHATTAN,Polish,9.75
10003,high income,A,MANHATTAN,Sandwiches,8.5
10003,high income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,9.33
10003,high income,A,MANHATTAN,Seafood,7.25
10003,high income,A,MANHATTAN,Soups & Sandwiches,7.0
10003,high income,A,MANHATTAN,Tex-Mex,9.0
10003,high income,A,MANHATTAN,Thai,10.58
10003,high income,A,MANHATTAN,Vegetarian,11.0
10003,high income,A,MANHATTAN,Vietnamese/Cambodian/Malaysia,9.25
10003,high income,B,MANHATTAN,American,18.6
10003,high income,B,MANHATTAN,Asian,21.67
10003,high income,B,MANHATTAN,Bangladeshi,18.0
10003,high income,B,MANHATTAN,"Bottled beverages, including water, sodas, juices, etc.",17.5
10003,high income,B,MANHATTAN,Caf̩/Coffee/Tea,21.5
10003,high income,B,MANHATTAN,Chinese,19.71
10003,high income,B,MANHATTAN,French,17.0
10003,high income,B,MANHATTAN,Hamburgers,17.0
10003,high income,B,MANHATTAN,Hotdogs,19.0
10003,high income,B,MANHATTAN,Indian,17.0
10003,high income,B,MANHATTAN,Italian,23.33
10003,high income,B,MANHATTAN,Japanese,18.0
10003,high income,B,MANHATTAN,Mediterranean,17.0
10003,high income,B,MANHATTAN,Mexican,21.2
10003,high income,B,MANHATTAN,Pizza,16.0
10003,high income,B,MANHATTAN,Polish,21.0
10003,high income,B,MANHATTAN,Sandwiches,22.33
10003,high income,B,MANHATTAN,Tex-Mex,23.5
10003,high income,B,MANHATTAN,Thai,26.0
10003,high income,B,MANHATTAN,Vietnamese/Cambodian/Malaysia,18.0
10003,high income,C,MANHATTAN,Bangladeshi,23.0
10003,high income,C,MANHATTAN,Mexican,30.0
10003,high income,C,MANHATTAN,Sandwiches,28.0
10003,high income,P,MANHATTAN,American,2.0
10003,high income,P,MANHATTAN,Bangladeshi,3.0
10003,high income,P,MANHATTAN,Delicatessen,10.0
10003,high income,P,MANHATTAN,Indian,2.0
10003,high income,P,MANHATTAN,Mexican,2.0
10003,high income,Z,MANHATTAN,American,9.5
10003,high income,Z,MANHATTAN,Caf̩/Coffee/Tea,10.0
10003,low income,A,MANHATTAN,American,8.93
10003,low income,A,MANHATTAN,Asian,9.75
10003,low income,A,MANHATTAN,"Bottled beverages, including water, sodas, juices, etc.",11.67
10003,low income,A,MANHATTAN,Caf̩/Coffee/Tea,7.0
10003,low income,A,MANHATTAN,Chinese,12.0
10003,low income,A,MANHATTAN,French,6.25
10003,low income,A,MANHATTAN,Irish,10.33
10003,low income,A,MANHATTAN,Italian,9.5
10003,low income,A,MANHATTAN,Mexican,10.0
10003,low income,A,MANHATTAN,Sandwiches,10.6
10003,low income,A,MANHATTAN,Thai,11.0
10003,low income,B,MANHATTAN,American,18.67
10003,low income,B,MANHATTAN,Asian,21.0
10003,low income,B,MANHATTAN,"Bottled beverages, including water, sodas, juices, etc.",21.0
10003,low income,B,MANHATTAN,Chinese,18.5
10003,low income,B,MANHATTAN,Sandwiches,22.33
10003,low income,Z,MANHATTAN,American,0.0
10003,medium income,A,MANHATTAN,Afghan,10.0
10003,medium income,A,MANHATTAN,American,8.97
10003,medium income,A,MANHATTAN,Asian,9.33
10003,medium income,A,MANHATTAN,Australian,8.25
10003,medium income,A,MANHATTAN,Bakery,8.94
10003,medium income,A,MANHATTAN,Bangladeshi,8.17
10003,medium income,A,MANHATTAN,"Bottled beverages, including water, sodas, juices, etc.",6.11
10003,medium income,A,MANHATTAN,Caf̩/Coffee/Tea,7.52
10003,medium income,A,MANHATTAN,Chinese,8.73
10003,medium income,A,MANHATTAN,Donuts,7.67
10003,medium income,A,MANHATTAN,Ethiopian,8.75
10003,medium income,A,MANHATTAN,French,9.33
10003,medium income,A,MANHATTAN,Greek,9.67
10003,medium income,A,MANHATTAN,Hamburgers,11.0
10003,medium income,A,MANHATTAN,Hotdogs,8.29
10003,medium income,A,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",8.12
10003,medium income,A,MANHATTAN,Indian,9.38
10003,medium income,A,MANHATTAN,Irish,9.25
10003,medium income,A,MANHATTAN,Italian,9.51
10003,medium income,A,MANHATTAN,Japanese,10.0
10003,medium income,A,MANHATTAN,Jewish/Kosher,9.6
10003,medium income,A,MANHATTAN,"Juice, Smoothies, Fruit Salads",6.5
10003,medium income,A,MANHATTAN,Korean,11.0
10003,medium income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.33
10003,medium income,A,MANHATTAN,Mediterranean,9.0
10003,medium income,A,MANHATTAN,Mexican,9.82
10003,medium income,A,MANHATTAN,Middle Eastern,9.5
10003,medium income,A,MANHATTAN,Moroccan,9.0
10003,medium income,A,MANHATTAN,Other,7.75
10003,medium income,A,MANHATTAN,Peruvian,6.5
10003,medium income,A,MANHATTAN,Pizza,10.1
10003,medium income,A,MANHATTAN,Russian,8.6
10003,medium income,A,MANHATTAN,Sandwiches,7.62
10003,medium income,A,MANHATTAN,Seafood,3.67
10003,medium income,A,MANHATTAN,Steak,8.0
10003,medium income,A,MANHATTAN,Tapas,8.33
10003,medium income,A,MANHATTAN,Tex-Mex,9.0
10003,medium income,A,MANHATTAN,Thai,11.5
10003,medium income,A,MANHATTAN,Vegetarian,10.0
10003,medium income,A,MANHATTAN,Vietnamese/Cambodian/Malaysia,9.25
10003,medium income,B,MANHATTAN,American,19.69
10003,medium income,B,MANHATTAN,Asian,20.6
10003,medium income,B,MANHATTAN,Bakery,20.0
10003,medium income,B,MANHATTAN,Bangladeshi,18.0
10003,medium income,B,MANHATTAN,Caf̩/Coffee/Tea,20.0
10003,medium income,B,MANHATTAN,Chinese,21.67
10003,medium income,B,MANHATTAN,French,20.8
10003,medium income,B,MANHATTAN,Hotdogs,19.0
10003,medium income,B,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",20.0
10003,medium income,B,MANHATTAN,Indian,20.0
10003,medium income,B,MANHATTAN,Irish,17.0
10003,medium income,B,MANHATTAN,Italian,19.33
10003,medium income,B,MANHATTAN,Japanese,19.21
10003,medium income,B,MANHATTAN,Korean,25.5
10003,medium income,B,MANHATTAN,Mediterranean,15.5
10003,medium income,B,MANHATTAN,Mexican,20.4
10003,medium income,B,MANHATTAN,Middle Eastern,15.0
10003,medium income,B,MANHATTAN,Pizza,19.67
10003,medium income,B,MANHATTAN,Vietnamese/Cambodian/Malaysia,18.0
10003,medium income,C,MANHATTAN,American,65.0
10003,medium income,C,MANHATTAN,Asian,31.5
10003,medium income,C,MANHATTAN,Bangladeshi,23.0
10003,medium income,C,MANHATTAN,Italian,43.5
10003,medium income,C,MANHATTAN,Japanese,22.0
10003,medium income,C,MANHATTAN,Mediterranean,9.0
10003,medium income,C,MANHATTAN,Mexican,32.5
10003,medium income,C,MANHATTAN,Sandwiches,28.0
10003,medium income,P,MANHATTAN,American,2.0
10003,medium income,P,MANHATTAN,Asian,14.0
10003,medium income,P,MANHATTAN,Bangladeshi,3.0
10003,medium income,P,MANHATTAN,Irish,6.0
10003,medium income,P,MANHATTAN,Mexican,2.0
10003,medium income,P,MANHATTAN,Pizza,9.0
10003,medium income,Z,MANHATTAN,American,23.0
10003,medium income,Z,MANHATTAN,Japanese,12.0
10003,medium income,Z,MANHATTAN,Korean,25.0
10004,high income,A,MANHATTAN,American,7.45
10004,high income,A,MANHATTAN,Caf̩/Coffee/Tea,7.3
10004,high income,A,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",9.75
10004,high income,A,MANHATTAN,Japanese,8.0
10004,high income,A,MANHATTAN,Jewish/Kosher,6.25
10004,high income,A,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10.5
10004,high income,A,MANHATTAN,Mexican,8.4
10004,high income,A,MANHATTAN,Pizza/Italian,8.25
10004,high income,A,MANHATTAN,Sandwiches,8.75
10004,high income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,7.8
10004,high income,B,MANHATTAN,American,18.0
10004,high income,B,MANHATTAN,"Ice Cream, Gelato, Yogurt, Ices",21.0
10004,high income,B,MANHATTAN,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",19.0
10004,high income,B,MANHATTAN,Sandwiches/Salads/Mixed Buffet,20.5
10004,high income,Z,MANHATTAN,American,5.0
10005,high income,A,MANHATTAN,Armenian,7.67
10005,high income,A,MANHATTAN,Caf̩/Coffee/Tea,5.75
10005,high income,A,MANHATTAN,Chinese/Japanese,11.33
10005,high income,A,MANHATTAN,English,6.0
10005,high income,A,MANHATTAN,French,12.25
10005,high income,B,MANHATTAN,Chinese/Japanese,27.0
10005,high income,B,MANHATTAN,French,16.0
10005,high income,P,MANHATTAN,Chinese/Japanese,9.0
10005,high income,Z,MANHATTAN,Chinese/Japanese,2.0
10006,high income,A,MANHATTAN,American,10.14
10006,high income,A,MANHATTAN,Caf̩/Coffee/Tea,6.57
10006,high income,A,MANHATTAN,Chicken,9.0
10006,high income,A,MANHATTAN,Chinese,9.29
10006,high income,A,MANHATTAN,Mexican,7.67
10006,high income,A,MANHATTAN,Pizza,6.75
10006,high income,A,MANHATTAN,Sandwiches,9.57
10006,high income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,9.5
10006,high income,A,MANHATTAN,Steak,11.67
10006,high income,B,MANHATTAN,American,18.33
10006,high income,B,MANHATTAN,Chicken,23.0
10006,high income,B,MANHATTAN,Sandwiches,14.0
10006,high income,C,MANHATTAN,Chicken,28.0
10006,high income,P,MANHATTAN,Sandwiches,9.0
10006,high income,Z,MANHATTAN,Chicken,65.0
10007,high income,A,MANHATTAN,American,9.05
10007,high income,A,MANHATTAN,Bagels/Pretzels,11.67
10007,high income,A,MANHATTAN,Bakery,8.0
10007,high income,A,MANHATTAN,Bangladeshi,9.67
10007,high income,A,MANHATTAN,Caf̩/Coffee/Tea,7.84
10007,high income,A,MANHATTAN,Chicken,10.5
10007,high income,A,MANHATTAN,Chinese,10.25
10007,high income,A,MANHATTAN,Delicatessen,11.9
10007,high income,A,MANHATTAN,Donuts,9.62
10007,high income,A,MANHATTAN,Indian,11.0
10007,high income,A,MANHATTAN,Irish,8.6
10007,high income,A,MANHATTAN,Italian,9.0
10007,high income,A,MANHATTAN,Japanese,9.25
10007,high income,A,MANHATTAN,Mediterranean,8.5
10007,high income,A,MANHATTAN,Mexican,8.25
10007,high income,A,MANHATTAN,Middle Eastern,9.0
10007,high income,A,MANHATTAN,Other,6.0
10007,high income,A,MANHATTAN,Pizza,9.75
10007,high income,A,MANHATTAN,Sandwiches,5.33
10007,high income,A,MANHATTAN,Sandwiches/Salads/Mixed Buffet,9.0
10007,high income,A,MANHATTAN,Spanish,12.0
10007,high income,A,MANHATTAN,Steak,11.0
10007,high income,A,MANHATTAN,Tex-Mex,8.29
10007,high income,B,MANHATTAN,American,23.67
10007,high income,B,MANHATTAN,Bangladeshi,15.67
10007,high income,B,MANHATTAN,Caf̩/Coffee/Tea,17.0
10007,high income,B,MANHATTAN,Delicatessen,18.5
10007,high income,B,MANHATTAN,Donuts,15.0
10007,high income,B,MANHATTAN,Indian,20.0
10007,high income,B,MANHATTAN,Irish,23.0
