DBA,Borough,STREET,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE,INCOME LEVEL
TROPICAL REVIVAL RESTAURANT & CATERING,QUEENS,CLINTONVILLE ST,Caribbean,2.0,A,11/15/2016,medium income
WOLF AND LAMB,MANHATTAN,EAST   48 STREET,Steak,12.0,A,12/16/2014,high income
BROOK AVENUE DELI & PIZZA,BRONX,BROOK AVENUE,Pizza,12.0,A,08/02/2017,low income
PLAZA TULCINGO RESTAURANT,BRONX,EAST CLARKE PLACE,Mexican,33.0,C,09/08/2016,low income
GOOD ENOUGH TO EAT (A.G. BISTRO),MANHATTAN,COLUMBUS AVENUE,American,33.0,C,01/30/2015,high income
BAREBURGER,QUEENS,VERNON BLVD,Hamburgers,10.0,A,03/25/2015,medium income
PANCHO VILLA RESTAURANT,BRONX,JEROME AVENUE,Mexican,42.0,C,12/01/2016,low income
GIRELLO,MANHATTAN,NORTH MOORE STREET,Italian,12.0,A,03/04/2015,high income
DOCKS RESTAURANT,MANHATTAN,3 AVENUE,Seafood,9.0,A,09/02/2014,high income
CAFE CORTADITO,MANHATTAN,EAST    3 STREET,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11.0,A,09/29/2015,medium income
POCO,MANHATTAN,AVENUE B,Spanish,11.0,A,07/22/2014,medium income
CHARLIES BAR & KITCHEN,BRONX,LINCOLN AVENUE,American,7.0,A,08/03/2015,low income
A SAFFRON THREAD,MANHATTAN,CHAMBERS STREET,Indian,12.0,A,03/05/2015,high income
MCDONALD'S,MANHATTAN,BROADWAY,Hamburgers,9.0,A,04/03/2017,high income
HARU,MANHATTAN,AMSTERDAM AVENUE,Japanese,10.0,A,02/06/2015,high income
SO GONG DONG TOFU HOUSE,QUEENS,41ST AVE,Korean,12.0,A,08/02/2017,low income
STARBUCKS,MANHATTAN,COLUMBUS AVENUE,Caf̩/Coffee/Tea,9.0,A,12/14/2016,high income
RYAN'S DAUGHTER CAFE,MANHATTAN,EAST   85 STREET,Irish,25.0,B,07/21/2014,high income
MADISON & VINE,MANHATTAN,MADISON AVENUE,American,10.0,A,05/31/2016,high income
PETEY'S BURGER,QUEENS,VERNON BOULEVARD,American,6.0,A,08/12/2014,medium income
SIMPSON THACHER AND BARTLET CAFE,MANHATTAN,LEXINGTON AVENUE,American,7.0,A,08/27/2014,high income
D'ANGELO'S PIZZERIA AND RESTAURANT,QUEENS,108 STREET,Pizza/Italian,5.0,A,10/11/2016,medium income
THE CREEK AND THE CAVE,QUEENS,JACKSON AVENUE,Mexican,12.0,A,06/18/2015,medium income
IG NIGHT,QUEENS,FOWLER AVE,Chinese,20.0,B,12/05/2015,low income
METROPOLITAN MUSEUM ROOF TOP GARDEN CAFE,MANHATTAN,5 AVENUE,American,7.0,A,05/18/2016,high income
ANDRE'S HUNGARIAN STRUDELS & PASTRIES,QUEENS,QUEENS BLVD,Bakery,12.0,A,06/06/2016,medium income
MARK FORGIONE,MANHATTAN,READE STREET,American,13.0,A,04/22/2015,high income
SARAVANA BHAVAN,MANHATTAN,AMSTERDAM AVENUE,Vegetarian,27.0,B,05/14/2014,high income
PARMA RESTAURANT,MANHATTAN,3 AVENUE,Italian,19.0,B,06/10/2015,high income
HAYATY,MANHATTAN,AVENUE A,Middle Eastern,13.0,A,11/22/2016,medium income
MY PIE,MANHATTAN,LEXINGTON AVENUE,Pizza,9.0,A,03/03/2016,high income
AUGURS WELL,MANHATTAN,ST MARKS PLACE,American,13.0,A,04/07/2017,medium income
SUBWAY,MANHATTAN,1 AVENUE,Sandwiches,17.0,B,07/20/2016,high income
JIMBO'S HAMBURGER PLACE,BRONX,MELROSE AVENUE,Hamburgers,11.0,A,01/09/2015,low income
O'NIEALS,MANHATTAN,GRAND STREET,American,7.0,A,08/03/2016,high income
TRUMP CAFE & GRILL,MANHATTAN,5 AVENUE,American,13.0,A,11/07/2014,high income
