INCOME LEVEL,DBA,STREET
high income,XO TASTE,ELIZABETH STREET
high income,BURGER INN AND GRILL,CHURCH STREET
high income,GRAN TIVOLI,BROOME STREET
high income,MAMAN,WEST BROADWAY
high income,SICHUAN HOT POT CUISINE,PELL STREET
high income,THE BROOME,BROOME STREET
high income,HAROLD'S,HUDSON STREET
high income,MISSION CEVICHE,CANAL STREET
high income,GRAND BANKS,Park N. Moore St. at West S
high income,WANG LAO JI HERBAL TEA,GRAND STREET
high income,GREECOLOGIES CAFE,BROOME STREET
high income,FRESH & CO,CANAL STREET
high income,BUONA NOTTE,MULBERRY STREET
high income,TROPICAL 128,ELIZABETH STREET
high income,AURORA SOHO,BROOME STREET
high income,KUNG FU TEA,CANAL STREET
high income,CAFE LAFAYETTE,LAFAYETTE STREET
high income,BAKE CULTURE,BOWERY
high income,KAM HING BAKERY,BAYARD STREET
high income,GITANO,VARICK STREET
high income,CICCIO,6 AVENUE
high income,55 THOMAS CAFE,THOMAS STREET
high income,HUI TEA,CANAL STREET
high income,IL MULINO,GREENWICH STREET
high income,YIWANMEN/CHONG QING NOODLE,MOTT STREET
high income,BREAKROOM,BAXTER STREET
high income,LA NONNA,MULBERRY STREET
high income,DUNKIN',CANAL STREET
high income,M1-5,WALKER STREET
high income,JUNG SIK,HARRISON STREET
high income,DELUXE GREEN BO,BAYARD STREET
high income,SHINSEN,BOWERY
high income,TASTE TACO HOUSE,CHURCH STREET
high income,ATTRAVERSA,WEST BROADWAY
high income,GOLDEN FUNG WONG BAKERY,MOTT STREET
high income,HOUSE SPECIAL RESTAURANT,HESTER STREET
high income,BENVENUTO CAFE,FRANKLIN STREET
high income,NHA TRANG ONE,BAXTER STREET
high income,POLOSUD,MOTT STREET
high income,GIRELLO,NORTH MOORE STREET
high income,YUNSHANG RICE NOODLE HOUSE,BAYARD STREET
high income,AMERICAN CUT,GREENWICH STREET
high income,POPEYES,WALKER STREET
high income,TWO HANDS TRIBECA,CHURCH STREET
high income,NB WING WONG,BOWERY
high income,M & W BAKERY,BAYARD STREET
high income,JUST SALAD,HUDSON ST
high income,FLOUR SHOP,LAFAYETTE STREET
high income,ANTIQUE GARAGE TRIBECA,CHURCH STREET
high income,CHIPOTLE MEXICAN GRILL,BROADWAY
high income,BRANDY LIBRARY LOUNGE,NORTH MOORE STREET
high income,AUDREY BAKERY & CAFE,CANAL STREET
high income,HARNEY & SONS TEA,BROOME STREET
high income,CONFERENCE CENTER,GREENWICH STREET
high income,NONNA BEPPA,HUDSON STREET
high income,STARBUCKS,GREENWICH STREET
high income,KAM HING CAFE,BAXTER STREET
high income,CHIKARASHI,CANAL STREET
high income,THE CUPPING ROOM CAFE,WEST BROADWAY
high income,12 CORNERS COFFEE,MOTT STREET
high income,NOMO SOHO,CROSBY STREET
high income,CAPRI RISTORANTE PIZZERIA BAR,MULBERRY STREET
high income,LE PAIN QUOTIDIEN,GRAND STREET
high income,CITI HOSPITALITY,GREENWICH STREET
high income,STARBUCKS,WEST BROADWAY
high income,MALAYSIA BEEF JERKY,ELIZABETH STREET
high income,JING FONG RESTAURANT,ELIZABETH STREET
high income,ZEF CAFE,BOWERY
high income,PIER 25 SNACK BAR,WEST STREET
high income,PINGS,MOTT STREET
high income,NOM WAH TEA/DIM SUM PARLOR,DOYERS STREET
high income,WESTVILLE,HUDSON STREET
high income,BIG WONG RESTAURANT,MOTT STREET
high income,QUAN SUSHI & GRILL,BROOME STREET
high income,SHANGHAI HEPING RESTAURANT,MOTT STREET
high income,BEARIN WHEEL PIE,WALKER STREET
high income,CAFE HONG KONG,BAYARD STREET
high income,XO TASTE,ELIZABETH STREET
high income,HOP LEE RESTAURANT,MOTT STREET
high income,12 CORNERS COFFEE,MOTT STREET
high income,WESTSIDE COFFEE SHOP RESTAURANT,CHURCH STREET
high income,NEW MANDARIN COURT,MOTT STREET
high income,PHO BANG RESTAURANT,MOTT STREET
high income,CIVIC DELI,WORTH STREET
high income,MACAO IMPERIAL TEA,HESTER STREET
high income,TAIWAN PORK CHOP HOUSE,DOYERS STREET
high income,GOTAN,FRANKLIN STREET
high income,Da Gennaro,MULBERRY STREET
high income,SAL'S FAMILY PIZZA,BROOME STREET
high income,M & W BAKERY,BAYARD STREET
high income,KAM HING CAFE,BAXTER STREET
high income,TAKAHACHI TRIBECA,DUANE STREET
high income,PASTEUR GRILL & NOODLES,BAXTER STREET
high income,LUNELLA RISTORANTE,MULBERRY STREET
high income,CRIMINAL COURT BLDG CAFETERIA,CENTRE STREET
high income,BUDDHA BODAI ONE VEGETARIAN RESTAURANT,MOTT STREET
high income,THE ORIGINAL VINCENT'S ESTABLISH 1904,MOTT STREET
high income,FAY DA BAKERY,MOTT STREET
high income,PEKING DUCK HOUSE,MOTT STREET
high income,EVERYMAN ESPRESSO,WEST BROADWAY
high income,NEW SHANGHAI DELUXE,MOTT STREET
high income,SUSHI OF GARI TRIBECA,WEST BROADWAY
high income,IL PICCOLO BUFALO,MULBERRY STREET
high income,JOE'S GINGER RESTAURANT,PELL STREET
high income,SHANGHAI 21,MOTT STREET
high income,PENGUIN ICE CREAM,CANAL STREET
high income,QUEEN BAKERY II,CENTRE STREET
high income,SERAFINA TRIBECA,READE STREET
high income,CHINA BLUE,WASHINGTON STREET
high income,GO CATERING,LISPENARD STREET
high income,STARBUCKS,CANAL STREET
high income,TAIYAKI NYC,BAXTER STREET
high income,LE BOTANISTE,GRAND STREET
high income,FERRARA'S,GRAND STREET
high income,SUN SAI GAI RESTAURANT,CANAL STREET
high income,HUDSON FOOD COURT,HUDSON STREET
high income,KAFFE 1668,GREENWICH STREET
high income,JUICY SPOT,PELL STREET
high income,PEPOLINO,WEST BROADWAY
high income,CANTON LOUNGE,MOTT STREET
high income,LA MELA RESTAURANT,MULBERRY STREET
high income,SPRING CAFE,CENTRE STREET
high income,MATCHA N' MORE,HESTER STREET
high income,TASTY HAND-PULLED NOODLES,DOYERS STREET
high income,TRIBECA ROOFTOP (10 DESBROSSES STREET),CANAL STREET
high income,THE ROXY HOTEL,WHITE STREET
high income,STARBUCKS,VARICK STREET
high income,SPRING PLACE,SAINT JOHNS LANE
high income,CAFFE NAPOLI,HESTER STREET
high income,WO HOP 17,MOTT STREET
high income,TAMARIND TRIBECA,HUDSON STREET
high income,EET,VARICK STREET
high income,KABAB BITES,BROOME STREET
high income,MANNA HOUSE,MOTT STREET
high income,ANOTHEROOM,WEST BROADWAY
high income,HOMETOWN HOTPOT & BBQ,GRAND STREET
high income,NANCY WHISKEY PUB,LISPENARD STREET
high income,CAFFE PALERMO,MULBERRY STREET
high income,LAN LARB SOHO,CENTRE STREET
high income,NEW TU DO RESTAURANT,BOWERY
high income,CAFE GUSTO II,WORTH STREET
high income,SAIGON VIETNAMESE SANDWICH,BROOME STREET
high income,SWEETGREEN,GREENWICH STREET
high income,STARBUCKS,LAFAYETTE STREET
high income,ILILI BOX,CANAL STREET
high income,CAPITALE,BOWERY
high income,FORLINIS RESTAURANT,BAXTER STREET
high income,UNITED GROCERY & DELI,HUDSON STREET
high income,AMELIA'S DINER,VARICK STREET
high income,THE INTERNATIONAL CULINARY INSTITUTE,BROADWAY
high income,SWAY LOUNGE,SPRING STREET
high income,HOP KEE RESTAURANT,MOTT STREET
high income,KHE-YO,DUANE STREET
high income,ESTANCIA 460,GREENWICH STREET
high income,SOFIA'S LITTLE ITALY,MULBERRY STREET
high income,LUNG MOON BAKERY,MULBERRY STREET
high income,TOMINO - TABERNA GALLEGA,GRAND STREET
high income,99 CENT TASTY & FRESH PIZZA,CANAL STREET
high income,CHRISTMAS IN THE CITY,MULBERRY STREET
high income,XO RESTAURANT,HESTER STREET
high income,VEGETARIAN DIM SUM HOUSE,PELL STREET
high income,JING FONG RESTAURANT,ELIZABETH STREET
high income,THAI SON VIETNAMESE CUISINE,BAXTER STREET
high income,ANEJO TRIBECA,WALKER STREET
high income,KEKI MODERN CAKES,MOTT STREET
high income,ENZO BRUNI LA PIZZA GOURMET,CANAL STREET
high income,THAILICIOUS,BAXTER STREET
high income,WOLFGANG'S STEAKHOUSE,GREENWICH STREET
high income,FRENCHETTE,WEST BROADWAY
high income,MEI LAI WAH COFFEE SHOP,BAYARD STREET
high income,SALAAM BOMBAY,GREENWICH STREET
high income,SOHO CIGAR BAR,WATTS STREET
high income,TEN REN'S TEA TIME,MOTT STREET
high income,JUKU,MULBERRY STREET
high income,CHIPILO ITALIAN SANDWICH SHOP,MULBERRY STREET
high income,HAMPTON CHUTNEY CO,GRAND STREET
high income,BLACK TAP,BROOME STREET
high income,MAMAN,WEST BROADWAY
high income,CASA BELLA,MULBERRY STREET
high income,ROYAL SEAFOOD CUISINE,MOTT STREET
high income,FUNNY BBQ,BOWERY
high income,THE WING SOHO,MERCER STREET
high income,ADORO LEI,HUDSON STREET
high income,TOFU TOFU,BOWERY
high income,NEW HONG WONG SEAFOOD RESTAURANT,BOWERY
high income,MCDONALD'S,CANAL STREET
high income,TAKESHI SUSHI,GRAND STREET
high income,TROQUET,GRAND STREET
high income,FELIX,WEST BROADWAY
high income,LUPE'S EAST L.A. KITCHEN,AVENUE OF THE AMERICAS
high income,DISTILLED NYC,WEST BROADWAY
high income,UMBERTO'S CLAM HOUSE,MULBERRY STREET
high income,PIACERE,BROOME STREET
high income,BENITO ONE,MULBERRY STREET
high income,PHOBAR,MOTT STREET
high income,ASIA ROMA,MULBERRY STREET
high income,SIMPLY BAKERY,BAYARD STREET
high income,MARK FORGIONE,READE STREET
high income,ZATGO COFFEE ROOM,LAFAYETTE STREET
high income,CONCEPT,BOWERY
high income,NB WING WONG,BOWERY
high income,BUDDHA BODAI ONE VEGETARIAN RESTAURANT,MOTT STREET
high income,TASTY DUMPLING,MULBERRY STREET
high income,ANTICA,CANAL STREET
high income,YI JI SHI MO NOODLE,ELIZABETH STREET
high income,FLEET BAKERY,BOWERY
high income,MILKCOW,BAYARD STREET
high income,THALASSA,FRANKLIN STREET
high income,BAZ BAGEL AND RESTAURANT,GRAND STREET
high income,IL MULINO,GREENWICH STREET
high income,TERROIR TRIBECA,HARRISON STREET
high income,PULQUERIA,DOYERS STREET
high income,NHA-TRANG CENTRE VIETNAM RESTAURANT,CENTRE STREET
high income,TOKYO BAY JAPANESE RESTAURANT,DUANE STREET
high income,SUN SAI GAI RESTAURANT,CANAL STREET
high income,DA NICO RESTAURANT,MULBERRY STREET
high income,GOLDEN KING BAKERY,BOWERY
high income,LOCANDA VERDE,GREENWICH STREET
high income,SMILE TO GO,HOWARD STREET
high income,GOLDEN STEAMER,MOTT STREET
high income,DA MIKELE,CHURCH STREET
high income,COCO FRESH TEA AND JUICE,MOTT STREET
high income,CHIU HONG BAKERY,MOTT STREET
high income,PRIMO'S BAR,WEST BROADWAY
high income,EAR INN,SPRING STREET
high income,CHINATOWN TAI PAN BAKERY,CANAL STREET
high income,RANDOLPH BEER,BROOME STREET
high income,DUNKIN',CANAL STREET
high income,ESTANCIA 460,GREENWICH STREET
high income,STARBUCKS,WEST BROADWAY
high income,WINSTON AND STRAWN LLP,PARK AVE
high income,MAGNOLIA BAKERY,EAST   42 STREET
high income,FRESH GINGER,EAST   45 STREET
high income,VITAE,EAST   46 STREET
high income,EVERYDAY GOURMET DELI,LEXINGTON AVENUE
high income,DUNKIN',LEXINGTON AVENUE
high income,BALADE YOUR WAY,EAST   41 STREET
high income,DAVIO'S NORTHERN ITALIAN STEAKHOUSE,LEXINGTON AVENUE
high income,MATSUNOYA,EAST   45 STREET
high income,OKI POKE & RAMEN,EAST   45 STREET
high income,HALE & HEARTY SOUP,GRAND CENTRAL TERMINAL
high income,JEF CHINESE,2 AVENUE
high income,DISHES,EAST   45 STREET
high income,JOY CURRY & TANDOOR,EAST   46 STREET
high income,FINANCIER PATISSERIE,VANDERBILT AVENUE
high income,TSUSHIMA,EAST   44 STREET
high income,ANGELETTO,2 AVENUE
high income,ESSEN,MADISON AVENUE
high income,BENTO SUSHI & NOODLES,3 AVENUE
high income,PFIZER BROADWAY CAFE,EAST   42 STREET
high income,SAKAGURA/ KIOSK,EAST   43 STREET
high income,STARBUCKS,EAST   42 STREET
high income,CHINA MOON,EAST   47 STREET
high income,FRANKIES DOGS ON THE GO,VANDERBILT AVENUE
high income,MADISON & VINE,MADISON AVENUE
high income,SHAKE SHACK,GRAND CENTRAL TERMINAL
high income,WOK CHI,EAST   42 STREET
high income,MENDY'S,EAST   42 STREET
high income,ARTISERIE,LEXINGTON AVENUE
high income,JOJU,5TH AVE
high income,THE CAMPBELL,VANDERBILT AVENUE
high income,LE PAIN QUOTIDIEN,EAST   44 STREET
high income,CAFE GRUMPY,LEXINGTON AVE
high income,MACCHIATO ESPRESSO BAR,FIFTH AVENUE
high income,WENDY'S,3 AVENUE
high income,REMI FLOWER & COFFEE,2 AVENUE
high income,ZENGO NYC,3 AVENUE
high income,DUNKIN DONUTS,2 AVENUE
high income,PRET A MANGER,MADISON AVENUE
high income,TOASTIES,EAST   48 STREET
high income,SMITH & WOLLENSKY,EAST   49 STREET
high income,HOTEL CHOCOLAT,LEXINGTON AVE
high income,MCCANN WORLDGROUP / FOODA,3 AVENUE
high income,ZAIKA NEW YORK,EAST   44 STREET
high income,ART BIRD & WHISKEY BAR,EAST   42 STREET
high income,TABLETIME,EAST   42 STREET
high income,STARBUCKS,MADISON AVENUE
high income,BARNES & NOBLE CAFE,5TH AVE
high income,PENNYLANE COFFEE No.2,EAST   42 STREET
high income,CURRY-YA,2 AVENUE
high income,KEATS RESTAURANT,2 AVENUE
high income,GOURMET 45,3 AVENUE
high income,SUNRISE MART,EAST   41 STREET
high income,ALLORA,EAST   47 STREET
high income,BENJAMIN STEAK HOUSE,EAST   41 STREET
high income,THE STAYTON ROOM,LEXINGTON AVENUE
high income,SANDWICHERIE OF NEW YORK,EAST   42 STREET
high income,HOP WON EXPRESS,EAST   45 STREET
high income,NISHIDA SHO-TEN,EAST   49 STREET
high income,J.WALTER THOMAS CAFE,LEXINGTON AVENUE
high income,THE COMFORT DINER,EAST   45 STREET
high income,MIGHTY BOWL,2 AVENUE
high income,99 CENT TASTY PIZZA,EAST   43 STREET
high income,THE YALE CLUB,VANDERBILT AVENUE
high income,AVRA ESTIATORIO,EAST   48 STREET
high income,DOUGHNUT PLANT,EAST   42 STREET
high income,CIPRIANI 42ND STREET,EAST   42 STREET
high income,AMMOS ESTIATORIO,VANDERBILT AVENUE
high income,KAORU RESTAURANT,EAST   46 STREET
high income,MONA KITCHEN & MARKET,EAST   44 STREET
high income,OSTERIA DELBIANCO,EAST   49 STREET
high income,BOW RAMEN,EAST   45 STREET
high income,PJ MORANS,EAST   48 STREET
high income,STICKY'S FINGER JOINT,LEXINGTON AVENUE
high income,MANGIA,MADISON AVENUE
high income,BUTTER BEANS (UNICEF),EAST   44 STREET
high income,MAISON KAYSER,LEXINGTON AVENUE
high income,BUKHARA GRILL,EAST   49 STREET
high income,FRESH & CO,MADISON AVENUE
high income,YAMA,EAST   49 STREET
high income,DELI ON MADISON,MADISON AVENUE
high income,SUBWAY,3 AVENUE
high income,THE WORLD BAR,UNITED NATIONS PLAZA
high income,MCFADDEN'S,2 AVENUE
high income,MCDONALDS RESTAURANT,EAST   42 STREET
high income,PALM TOO,2 AVENUE
high income,ALI BABA'S TERRACE,2 AVENUE
high income,BREAD & BUTTER,EAST   44 STREET
high income,CORK & KALE (EVEN HOTEL NEW YORK-MIDTOWN EAST),EAST   44 STREET
high income,UNCLE PAULS PIZZA NY,VANDERBILT AVENUE
high income,PENNYLANE COFFEE,EAST   45 STREET
high income,THE CAPITAL GRILLE,EAST   42 STREET
high income,MARSHALL STREET-ATOMIC WINGS,EAST   49 STREET
high income,DILL AND PARSLEY,MADISON AVENUE
high income,ZARO'S BREAD BASKET,EAST   42 STREET
high income,OSTERIA LAGUNA,EAST   42 STREET
high income,CAFE 575,5TH AVE
high income,MACCHIATO ESPRESSO BAR,EAST   44 STREET
high income,OLE & STEEN,EAST   48 STREET
high income,PFIZER CAFE,EAST   42 STREET
high income,FUEL GRILL & JUICE BAR,EAST   45 STREET
high income,JOE AND THE JUICE,3 AVENUE
high income,MULBERRY & VINE,EAST   44 STREET
high income,NEW YORK THAI GRILL & SUSHI BAR,EAST   45 STREET
high income,YAMADA CHIKARA NEW YORK,EAST   49 STREET
high income,CAFE SPICE,GRAND CENTRAL TERMINAL
high income,AZUSA OF JAPAN,EAST   44 STREET
high income,LEXINGTON BRASS,LEXINGTON AVENUE
high income,POTBELLY SANDWICH WORKS,PARK AVENUE
high income,HALE & HEARTY SOUP,MADISON AVENUE
high income,RESTAURANT RIKI,EAST   45 STREET
high income,COCO FRESH TEA & JUICE,LEXINGTON AVENUE
high income,MULDOON'S IRISH PUB & RESTAURANT,3 AVENUE
high income,LA VERA PIZZA,2 AVENUE
high income,PFIZER CAFE,EAST   42 STREET
high income,JACQUES TORRES ICE CREAM,EAST   42 STREET
high income,GREAT NORTHERN FOOD HALL,EAST   42 STREET
high income,THE GREAT NORTHERN DELI AND DANISH DOGS,EAST   42 STREET
high income,HOME FRONT DELI,EAST   41 STREET
high income,525 LEX Restaurant/M Club Lounge/illy Caf̩,LEXINGTON AVENUE
high income,TAYLOR ST BARISTAS,MADISON AVENUE
high income,DELMONICO GOURMET,LEXINGTON AVENUE
high income,PREVITI PIZZA,EAST   41 STREET
high income,SUBWAY,3 AVENUE
high income,CONVENE 237 PARK,PARK AVE
high income,METLIFE COFFEE BAR,PARK AVE
high income,THE ROOSEVELT HOTEL,EAST   45 STREET
high income,HERBS THAI BISTRO,EAST   45 STREET
high income,SOPHIE'S RESTAURANT,LEXINGTON AVENUE
high income,PROVA PIZZA BAR,EAST   42 STREET
high income,JOE AND THE JUICE,3 AVENUE
high income,PAMPANO,EAST   49 STREET
high income,GRK,LEXINGTON AVENUE
high income,POULETTE,EAST   49 STREET
high income,TERRACE CAFE (HOGAN LOVELLS),MADISON AVENUE
high income,STARBUCKS COFFEE,3 AVENUE
high income,EATA PITA,EAST   42 STREET
high income,KATSUHAMA 47,EAST   47 STREET
high income,PEAK THAI,EAST   49 STREET
high income,99 CENTS FRESH PIZZA,LEX AVENUE
high income,FOXY JOHN'S,EAST   47 STREET
high income,THE WHEELTAPPER,EAST   44 STREET
high income,SOBA TOTTO,EAST   43 STREET
high income,MARKET CAFE,LEXINGTON AVENUE
high income,JASMINE,EAST   49 STREET
high income,696 GOURMET DELI,3 AVENUE
high income,METLIFE EXECUTIVE DINING ROOM,PARK AVE
high income,DELICACY,EAST   44 STREET
high income,PICKLER & CO,EAST   45 STREET
high income,CAFE OLYMPIA,2 AVENUE
high income,CHIPOTLE MEXICAN GRILL,EAST   44 STREET
high income,INDAY 708,3 AVENUE
high income,STARBUCKS,LEXINGTON AVENUE
high income,DOCKS RESTAURANT,3 AVENUE
high income,CHICK-FIL-A AT GRAND CENTRAL,EAST   42 STREET
high income,DUNKIN',5 AVENUE
high income,MARKET PLACE (METLIFE),PARK AVE
high income,HALE & HEARTY SOUP,LEXINGTON AVENUE
high income,SIMPSON THACHER AND BARTLET CAFE,LEXINGTON AVENUE
high income,MAISON KAYSER,3 AVENUE
high income,THE SEA FIRE GRILL,EAST   48 STREET
high income,PATSY'S PIZZERIA,2 AVENUE
high income,MCFADDEN'S,2 AVENUE
high income,PLEROMA,EAST   42 STREET
high income,VITAE,EAST   46 STREET
high income,SHAKE SHACK,GRAND CENTRAL TERMINAL
high income,STONE BRIDGE PIZZA & SALAD,EAST   41 STREET
high income,ALI BABA'S TERRACE,2 AVENUE
high income,BLUESTONE LANE,MADISON AVENUE
high income,BENJAMIN STEAK HOUSE,EAST   41 STREET
high income,BREAD & BUTTER,EAST   44 STREET
high income,REMI FLOWER & COFFEE,2 AVENUE
high income,CONNOLLY'S PUB,EAST   47 STREET
high income,ANGELETTO,2 AVENUE
high income,DUNKIN',VANDERBILT AVENUE
high income,INTERCONTINENTAL BANQUET KITCHEN NEW YORK BARCLAY,EAST   48 STREET
high income,EVERYDAY GOURMET DELI,LEXINGTON AVENUE
high income,UN PLAZA GRILL,UNITED NATIONS PLZ
high income,DELI ON MADISON,MADISON AVENUE
high income,KEATS RESTAURANT,2 AVENUE
high income,PENNYLANE COFFEE,EAST   45 STREET
high income,JUST SALAD,3 AVENUE
high income,ESSEN,MADISON AVENUE
high income,INTERCONTINENTAL NEW YORK EMPLOYEE CAFE,EAST   48 STREET
high income,JEF CHINESE,2 AVENUE
high income,LE PAIN QUOTIDIEN,3 AVENUE
high income,DUNKIN',LEXINGTON AVENUE
high income,GOURMET 45,3 AVENUE
high income,PJ MORANS,EAST   48 STREET
high income,EAST PALACE,2 AVENUE
high income,FUEL GRILL & JUICE BAR,EAST   45 STREET
high income,ANDAZ 5TH AVENUE,5 AVENUE
high income,MAKIMAKI,LEXINGTON AVENUE
high income,SUBWAY,VANDERBILT AVENUE
high income,SANDWICHERIE OF NEW YORK,EAST   42 STREET
high income,NEW YORK THAI GRILL & SUSHI BAR,EAST   45 STREET
high income,SUSHI GINZA ONODERA,5 AVENUE
high income,TUDOR CITY MARKETPLACE,EAST   42 STREET
high income,UNCLE CHARLIE,EAST   45 STREET
high income,MATSUNOYA,EAST   45 STREET
high income,SUSHI YASUDA,EAST   43 STREET
high income,UNCLE CHARLIE,EAST   45 STREET
high income,LITTLE ITALY PIZZA,5 AVENUE
high income,TUDOR CITY MARKETPLACE,EAST   42 STREET
high income,MACCHIATO ESPRESSO BAR,EAST   44 STREET
high income,STARBUCKS,LEXINGTON AVENUE
high income,MATSUNOYA,EAST   45 STREET
high income,PLEROMA,EAST   42 STREET
high income,PURE GREEN,EAST   45 STREET
high income,SEA LEVEL CAFE,EAST   43 STREET
high income,ESSEN,MADISON AVENUE
high income,JOHNS CAFE & RESTAURANT,SECOND AVENUE
high income,Fukusuke,EAST   49 STREET
high income,CAFE OLYMPIA,2 AVENUE
high income,ROAST KITCHEN,MADISON AVENUE
high income,BENTON CAFE,EAST   45 STREET
high income,EAST PALACE,2 AVENUE
high income,BURGER HEAVEN,EAST   49 STREET
high income,LILY'S BAR @ ROGER SMITH HOTEL,LEXINGTON AVENUE
high income,STARBUCKS,LEXINGTON AVENUE
high income,BUTTER BEANS (UNICEF),EAST   44 STREET
high income,FRESH & CO,LEXINGTON AVENUE
high income,DELI ON MADISON,MADISON AVENUE
high income,BREAD & BUTTER,EAST   44 STREET
high income,BAROLO EAST,EAST   49 STREET
high income,CHIRPING CHICKEN,GRAND CENTRAL TERMINAL
high income,IL POSTINO,EAST   49 STREET
high income,ALI BABA'S TERRACE,2 AVENUE
high income,EVERYDAY GOURMET DELI,LEXINGTON AVENUE
high income,DOUGHNUT PLANT,EAST   42 STREET
high income,DR SMOOD,MADISON AVENUE
high income,1 DARBAR,EAST   46 STREET
high income,LA BELLEZZA,EAST   49 STREET
high income,VITAE,EAST   46 STREET
high income,TUDOR CITY STEAKHOUSE,TUDOR CITY PLACE
high income,MANHATTAN ESPRESSO,EAST   49 STREET
high income,REMI FLOWER & COFFEE,2 AVENUE
high income,ETC,EAST   46 STREET
high income,WOLF AND LAMB,EAST   48 STREET
high income,BENJAMIN STEAK HOUSE,EAST   41 STREET
high income,GOURMET 45,3 AVENUE
high income,CIPRIANI DOLCI,GRAND CENTRAL TERMINAL
high income,NAYA EXPRESS,3 AVENUE
high income,TACOS GRAND CENTRAL,3 AVENUE
high income,CAFE HESTIA,3 AVENUE
high income,MCFADDEN'S,2 AVENUE
high income,JUICE BAR PLUS,3 AVENUE
high income,BLOOMBERG CAFE,PARK AVE
high income,OPHELIA,MITCHELL PLACE
high income,TRI TIP GRILL,EAST   42 STREET
high income,PFIZER BROADWAY CAFE,EAST   42 STREET
high income,DILL AND PARSLEY,MADISON AVENUE
high income,STARBUCKS,MADISON AVENUE
high income,LE PAIN QUOTIDIEN,EAST   44 STREET
high income,MCDONALDS RESTAURANT,EAST   42 STREET
high income,JOY CURRY & TANDOOR,EAST   46 STREET
high income,JASMINE,EAST   49 STREET
high income,PUBLIC HOUSE,3 AVENUE
high income,MCCANN WORLDGROUP / FOODA,3 AVENUE
high income,HOTEL CHOCOLAT,LEXINGTON AVE
high income,ASHLEY'S FINE FOODS,LEXINGTON AVENUE
high income,696 GOURMET DELI,3 AVENUE
high income,BLACKWELLS,EAST   47 STREET
high income,EATA PITA,EAST   42 STREET
high income,AZUSA OF JAPAN,EAST   44 STREET
high income,ZARO'S BREAD BASKET,EAST   42 STREET
high income,TABLETIME,EAST   42 STREET
high income,BARNES & NOBLE CAFE,5TH AVE
high income,AGERN,EAST   42 STREET
high income,PJ MORANS,EAST   48 STREET
high income,CENTRAL MARKET NEW YORK,VANDERBILT AVENUE
high income,WENDY'S,3 AVENUE
high income,HALE & HEARTY SOUP,GRAND CENTRAL TERMINAL
high income,GROUND-CENTRAL,2 AVENUE
high income,FRANKIES DOGS ON THE GO,VANDERBILT AVENUE
high income,U N RESTAURANT,EAST   49 STREET
high income,SANDWICHERIE OF NEW YORK,EAST   42 STREET
high income,YAMA,EAST   49 STREET
high income,TOMIZ,EAST   41 STREET
high income,ALLORA,EAST   47 STREET
high income,PERSHING SQUARE CAFE,EAST   42 STREET
high income,MAISON KAYSER,3 AVENUE
high income,WINSTON AND STRAWN LLP,PARK AVE
high income,RESIDENCE INN MANHATTAN MIDTOWN EAST,EAST   48 STREET
high income,NEW YORK THAI GRILL & SUSHI BAR,EAST   45 STREET
high income,MJ SMITH FOOD & SPIRITS,EAST   45 STREET
high income,MCDONALD'S,EAST   47 STREET
high income,WOK TO WALK,3 AVENUE
high income,JOE COFFEE,GRAND CENTRAL TERMINAL
high income,FRESH & CO,MADISON AVENUE
high income,DISHES,EAST   45 STREET
high income,USAGI,EAST   49 STREET
high income,MONA KITCHEN & MARKET,EAST   44 STREET
high income,FUEL GRILL & JUICE BAR,EAST   45 STREET
high income,STARBUCKS,EAST   42 STREET
high income,OSTERIA LAGUNA,EAST   42 STREET
high income,BOW RAMEN,EAST   45 STREET
high income,POULETTE,EAST   49 STREET
high income,MILK N' HONEY,EAST   46 STREET
high income,AMAZE FUSION & LOUNGE,3 AVENUE
high income,AVRA ESTIATORIO,EAST   48 STREET
high income,HERBS THAI BISTRO,EAST   45 STREET
high income,SHAKE SHACK,GRAND CENTRAL TERMINAL
high income,MIGHTY BOWL,2 AVENUE
high income,MAISON KAYSER,LEXINGTON AVENUE
high income,CIPRIANI 42ND STREET,EAST   42 STREET
high income,BENTO SUSHI & NOODLES,3 AVENUE
high income,CONVENE 780,3 AVENUE
high income,SUSHI TIME,2 AVENUE
high income,PALM TOO,2 AVENUE
high income,STARBUCKS,EAST   45 STREET
high income,IL POSTINO,EAST   49 STREET
high income,STARBUCKS,PARK AVE FRNT 1
high income,INTERCONTINENTAL BARCLAY-LOBBY RESTAURANT,EAST   48 STREET
high income,CORK & KALE (EVEN HOTEL NEW YORK-MIDTOWN EAST),EAST   44 STREET
high income,TRI TIP GRILL,EAST   42 STREET
high income,YAMA,EAST   49 STREET
high income,LE BOTANISTE,3 AVENUE
high income,MILK N' HONEY,EAST   46 STREET
high income,TOMIZ,EAST   41 STREET
high income,DR SMOOD,LEXINGTON AVENUE
high income,CHIRPING CHICKEN,GRAND CENTRAL TERMINAL
high income,THE CAPITAL GRILLE,EAST   42 STREET
high income,THE KATI ROLL COMPANY,3 AVENUE
high income,LA CHULA TACO & LATINERIA,EAST   42 STREET
high income,GONG CHA,EAST   44 STREET
high income,SHISEIDO,MADISON AVENUE
high income,DOUGHNUT PLANT,EAST   42 STREET
high income,CAFE ALICE,EAST   47 STREET
high income,DUNKIN',EAST   46 STREET
high income,696 GOURMET DELI,3 AVENUE
high income,WOLFGANG'S STEAKHOUSE BOUTIQUE,EAST   46 STREET
