DBA,STREET,INCOME_LEVEL,BOROUGH,ZIPCODE,CUISINE_DESCRIPTION,SCORE,GRADE
BY THE WAY BAKERY,BROADWAY,high income,Manhattan,10024,Bakery Products/Desserts,7,A
FAMOUS ORIGINAL RAY'S PIZZA,COLUMBUS AVENUE,high income,Manhattan,10024,Pizza,12,A
KISSENA CAFE,KISSENA BOULEVARD,low income,Queens,11355,Chinese,10,A
COLUMBUS GOURMET FOOD,COLUMBUS AVE STORE #2,high income,Manhattan,10023,American,10,A
TE QUIERO,ROCKAWAY BEACH BLVD,medium income,Queens,11694,Mexican,11,A
CHRISTMAS IN THE CITY,MULBERRY STREET,high income,Manhattan,10013,Coffee/Tea,46,C
OLLIES TO GO,EAST   77 STREET,high income,Manhattan,10075,Chinese,13,A
SERAFINA FABULOUS PIZZA,MADISON AVENUE,high income,Manhattan,10075,Italian,12,A
GU,EAST   52 STREET,high income,Manhattan,10022,Japanese,2,C
KAZUZA,AVENUE A,medium income,Manhattan,10009,Middle Eastern,12,A
TIRAMISU RESTAURANT,3 AVENUE,high income,Manhattan,10028,Italian,13,A
CAFE GUSTO II,WORTH STREET,high income,Manhattan,10013,American,9,A
NICA TRATTORIA,EAST   84 STREET,high income,Manhattan,10028,Italian,5,A
PFIZER BROADWAY CAFE,EAST   42 STREET,high income,Manhattan,10017,American,11,A
OATH PIZZA,3 AVENUE,high income,Manhattan,10065,Pizza,10,A
AURORA SOHO,BROOME STREET,high income,Manhattan,10013,Italian,10,A
TOMPKINS SQUARE BAR,AVENUE A,medium income,Manhattan,10009,American,13,A
PLANTSHED,COLUMBUS AVENUE,high income,Manhattan,10024,Coffee/Tea,13,A
HUI RESTAURANT AND BAR,EAST   70 STREET,high income,Manhattan,10021,Chinese,3,A
BIG WONG RESTAURANT,MOTT STREET,high income,Manhattan,10013,Chinese,22,B
STARBUCKS,1 AVENUE,medium income,Manhattan,10065,Coffee/Tea,2,A
CITRICO,WASHINGTON AVENUE,medium income,Brooklyn,11238,Mexican,11,A
HAMPTON CHUTNEY CO,GRAND STREET,high income,Manhattan,10013,Indian,4,A
TEXAS ROTISSERIE,1 AVENUE,high income,Manhattan,10021,American,7,A
ANTOJITOS & NATURAL JUICE BAR,CLAY AVENUE,low income,Bronx,10456,"Juice, Smoothies, Fruit Salads",11,A
AU CHEVAL DINER,WALKER STREET,high income,Manhattan,10013,American,12,A
LOVE EARTH CAFE,ARTHUR KILL ROAD,medium income,Staten Island,10309,Vegetarian,9,A
SMITH & WOLLENSKY,EAST   49 STREET,high income,Manhattan,10017,American,8,A
TIGRE'S PIZZA & RESTAURANT,EAST  174 STREET,low income,Bronx,10457,American,25,B
PICK A BAGEL,LEXINGTON AVENUE,high income,Manhattan,10065,Bagels/Pretzels,25,B
LINCOLN CENTER KITCHEN @ DAVID GEFFEN HALL,WEST   65 STREET,high income,Manhattan,10023,American,2,A
SUBWAY,EAST TREMONT AVENUE,low income,Bronx,10465,Sandwiches,13,A
JOE & THE JUICE,3 AVENUE,high income,Manhattan,10021,"Juice, Smoothies, Fruit Salads",10,A
BODRUM,AMSTERDAM AVENUE,high income,Manhattan,10024,Mediterranean,5,A
ELEVEN B,AVENUE B,medium income,Manhattan,10009,Pizza,9,P
MAISON BELJANSKI,EAST   53 STREET,high income,Manhattan,10022,Coffee/Tea,12,A
MOE'S GOURMET FOOD & PIZZA,WHITESTONE EXPRESSWAY,medium income,Queens,11357,American,5,A
CAFE JAX,EAST   84 STREET,high income,Manhattan,10028,Coffee/Tea,0,P
CASA DEL MAR RESTAURANT,WEBSTER AVENUE,low income,Bronx,10457,Seafood,9,A
SPY C CUISINE,AUSTIN ST,medium income,Queens,11375,Chinese,7,A
LINCOLN STATION,LINCOLN PLACE,medium income,Brooklyn,11238,American,23,B
CICCIO,6 AVENUE,high income,Manhattan,10013,Italian,11,A
CASA PROMESA,EAST  175 STREET,low income,Bronx,10457,American,12,A
SAINT ANN'S CAFE RESTAURANT,SAINT ANNS AVENUE,low income,Bronx,10454,Latin American,7,A
AUGURS WELL,ST MARKS PLACE,medium income,Manhattan,10009,American,10,A
PASTA FRANCO,COLUMBUS AVENUE,high income,Manhattan,10024,Italian,2,A
MBJ FOOD SERVICE,THOMPSON AVENUE,medium income,Queens,11101,American,10,A
SPRING PLACE,SAINT JOHNS LANE,high income,Manhattan,10013,Mediterranean,7,A
HYATT PLACE,43RD AVE,medium income,Queens,11101,American,12,A
MANDARIN ORIENTAL HOTEL-CAFETERIA,COLUMBUS CIRCLE,high income,Manhattan,10023,Chinese,10,A
CASA ASIA,14 AVENUE,medium income,Queens,11357,Chinese/Japanese,9,A
ARLO ROOFTOP (ART),HUDSON STREET,high income,Manhattan,10013,American,2,A
NEW KISSENA CHINESE FOOD SHAO,KISSENA BLVD,low income,Queens,11355,Chinese,13,A
LINCOLN STATION,LINCOLN PLACE,medium income,Brooklyn,11238,American,9,A
ANDA CAFE,MAIN ST,low income,Queens,11355,Coffee/Tea,10,A
TACO KING,108 STREET,medium income,Queens,11375,Tex-Mex,12,A
RITZ DINER,1 AVENUE,high income,Manhattan,10065,American,19,B
WORKSHOP,2 AVENUE,high income,Manhattan,10021,American,10,A
SETTE MEZZO,LEXINGTON AVENUE,high income,Manhattan,10021,Italian,13,A
KAN WAH CHINESE RESTAURANT,MAIN ST,low income,Queens,11355,Chinese,7,A
HIDE CHAN RAMEN,EAST   52 STREET,high income,Manhattan,10022,Japanese,9,A
BEACON THEATRE WINDOW BAR 2ND,BROADWAY,high income,Manhattan,10023,American,10,A
ROY'S RESTAURNT & BAR,EAST TREMONT AVENUE,low income,Bronx,10460,Latin American,12,A
PFIZER BROADWAY CAFE,EAST   42 STREET,high income,Manhattan,10017,American,5,A
BROOKS 1890 RESTAURANT,JACKSON AVENUE,medium income,Queens,11101,Italian,10,A
CAFFE BACIO,3 AVENUE,high income,Manhattan,10021,Coffee/Tea,7,A
Pick-A-Bagel,LEXINGTON AVENUE,high income,Manhattan,10075,Bagels/Pretzels,13,A
EAST BUFFET & RESTAURANT,MAIN STREET,low income,Queens,11355,Chinese,13,A
BERONBERON,1 AVENUE,medium income,Manhattan,10009,Japanese,54,C
59E59 BAR,EAST   59 STREET,high income,Manhattan,10022,American,9,A
MUSE PAINTBAR,GREENWICH STREET,high income,Manhattan,10013,American,10,A
EL NUEVO BOHIO RESTAURANT,EAST TREMONT AVENUE,low income,Bronx,10460,Latin American,7,A
VERITABLE,2 AVENUE,high income,Manhattan,10065,American,13,A
PHILIPPE NYC I,EAST   60 STREET,high income,Manhattan,10022,Chinese,10,A
HOTEL CHOCOLAT,LEXINGTON AVE,high income,Manhattan,10017,Coffee/Tea,8,A
TRI TIP GRILL,EAST   42 STREET,high income,Manhattan,10017,American,16,B
LUCKY RESTAURANT,EAST  182 STREET,low income,Bronx,10457,Chinese,11,A
BENVENUTO CAFE,FRANKLIN STREET,high income,Manhattan,10013,American,7,A
MJ SMITH FOOD & SPIRITS,EAST   45 STREET,high income,Manhattan,10017,American,13,A
16 HANDLES,AMSTERDAM AVENUE,high income,Manhattan,10023,Frozen Desserts,12,A
TROQUET,GRAND STREET,high income,Manhattan,10013,French,9,A
DEUX AMIS,EAST   51 STREET,high income,Manhattan,10022,French,13,A
ROCCO'S ITALIAN SAUSAGES & PHILLY CHEESESTEAKS,NORTHERN BOULEVARD,medium income,Queens,11101,Sandwiches,10,A
HOPS HILL,FULTON STREET,medium income,Brooklyn,11238,Sandwiches,6,A
JOE COFFEE COMPANY,AMSTERDAM AVENUE,high income,Manhattan,10023,Coffee/Tea,7,A
THE WORLD BAR,UNITED NATIONS PLAZA,high income,Manhattan,10017,American,5,A
EL REY LATINO RESTAURANT,108TH ST,medium income,Queens,11375,Spanish,13,A
ROSE CAKE HOUSE,MAIN ST,low income,Queens,11355,Bakery Products/Desserts,20,B
ALLEY 41,41ST AVE,low income,Queens,11355,Chinese,7,A
BILLY'S BAKERY,COLUMBUS AVENUE,high income,Manhattan,10024,Bakery Products/Desserts,10,A
GRIZZLY GROUNDS,SOUTHERN BOULEVARD,low income,Bronx,10460,Coffee/Tea,10,A
TEXAS CHICKEN & BURGERS,WESTCHESTER AVENUE,low income,Bronx,10461,Chicken,12,A
GRAND SLAM BANQUET HALL,EAST TREMONT AVENUE,low income,Bronx,10457,American,13,A
BARCKLAYS PIZZA & PASTA,FULTON STREET,medium income,Brooklyn,11238,Pizza,10,A
EATING TREE,GERARD AVENUE,low income,Bronx,10452,Caribbean,10,A
BRONX DRAFTHOUSE,GERARD AVENUE,low income,Bronx,10452,American,12,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,Queens,11101,American,14,B
LA MONEDA RESTAURANT,JEROME AVENUE,low income,Bronx,10453,Latin American,24,B
JACQUES BRASSERIE,EAST   85 STREET,high income,Manhattan,10028,French,7,A
CARIDAD RESTAURANT,GRAND CONCOURSE,low income,Bronx,10457,Latin American,13,A
VANGUARD WINE BAR,1 AVENUE,high income,Manhattan,10021,French,9,A
FELICE 64 WINE BAR,1 AVENUE,high income,Manhattan,10065,Italian,3,A
CAFE HONG KONG,BAYARD STREET,high income,Manhattan,10013,Chinese,25,B
A SAFFRON THREAD,CHAMBERS STREET,high income,Manhattan,10007,Indian,7,A
TAIYAKI NYC,BAXTER STREET,high income,Manhattan,10013,Frozen Desserts,11,A
MIANSAI,CROSBY STREET,high income,Manhattan,10013,Coffee/Tea,8,A
AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,W 79 STREET,high income,Manhattan,10024,American,4,A
HOMEMADE TAQUERIA,34 AVENUE,medium income,Queens,11101,Mexican,13,A
PARIS BAGUETTE,BROADWAY,high income,Manhattan,10018,Bakery Products/Desserts,7,A
HE NAN CUISINE,41ST AVE,low income,Queens,11355,Chinese,7,A
KRAVE CHICKEN & BURGER,21ST ST,medium income,Queens,11101,Chicken,6,A
WENDY'S,3 AVENUE,high income,Bronx,10457,Hamburgers,5,A
THAI TREE,GREENPOINT AVE,medium income,Queens,11101,Thai,12,A
HEIDELBERG RESTAURANT,2 AVENUE,high income,Manhattan,10028,German,13,A
POST,AVENUE B,medium income,Manhattan,10009,American,5,A
OUH MOA NA,41ST AVE,low income,Queens,11355,Korean,18,B
LA CAVA,2 AVENUE,high income,Manhattan,10022,Italian,2,A
BUKA,FULTON STREET,medium income,Brooklyn,11238,African,6,A
BRANDY LIBRARY LOUNGE,NORTH MOORE STREET,high income,Manhattan,10013,French,12,A
TOKUYAMA CAFE,EAST    6 STREET,medium income,Manhattan,10009,Coffee/Tea,12,A
BLACK STAR BAKERY & CAFE,YORK AVENUE,high income,Manhattan,10028,Coffee/Tea,12,A
EMPANADAS MONUMENTAL,MELROSE AVENUE,low income,Bronx,10455,Mexican,9,A
PRET A MANGER,3 AVENUE,high income,Manhattan,10022,Soups/Salads/Sandwiches,2,A
JUICE GENERATION,3 AVENUE,high income,Manhattan,10028,American,3,A
BACK HOME II RESTAURANT,EAST  169 STREET,low income,Bronx,10456,Caribbean,3,P
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Manhattan,10024,Indian,7,A
MUTUAL OF AMERICA,PARK AVENUE,high income,Manhattan,10022,American,10,A
EURO PIZZA,EAST  169 STREET,low income,Bronx,10456,Pizza,9,A
AL HORNO LEAN MEXICAN,2 AVENUE,high income,Manhattan,10022,Mexican,13,P
JAVA GIRL,EAST   66 STREET,high income,Manhattan,10065,Coffee/Tea,7,A
TRI DIM SHANGHAI,3 AVENUE,high income,Manhattan,10075,Chinese,9,A
COUNTRY STYLE RESTAURANT,WALTON AVENUE,low income,Bronx,10452,Caribbean,13,A
C Lounge Restaurant & Hookah Bar,AVENUE C,medium income,Manhattan,10009,Latin American,12,A
CHIKARASHI,CANAL STREET,high income,Manhattan,10013,Japanese,8,A
TACO VELOZ VIP,EAST  138 STREET,low income,Bronx,10454,Tex-Mex,9,A
HONG KONG CAFE CHINESE RESTAURANT,FRANKLIN AVENUE,medium income,Brooklyn,11238,Chinese,9,A
BOX KITE COFFEE,WEST   72 STREET,high income,Manhattan,10023,Coffee/Tea,5,A
BROOK AVENUE DELI & PIZZA,BROOK AVENUE,low income,Bronx,10454,Pizza,10,A
PANERA BREAD,35 AVENUE,medium income,Queens,11101,American,10,A
TASTY HAND-PULLED NOODLES,DOYERS STREET,high income,Manhattan,10013,Chinese,5,A
PRET A MANGER,BROADWAY,high income,Manhattan,10025,Soups/Salads/Sandwiches,9,A
ROAST KITCHEN,EAST   56 STREET,high income,Manhattan,10022,American,13,A
LA VIGNA,METROPOLITAN AVENUE,medium income,Queens,11375,Italian,13,A
EMPLOYEE CAFETERIA,MADISON AVENUE,high income,Manhattan,10022,American,2,A
PACO PIZZA,ARTHUR AVENUE,low income,Bronx,10457,Pizza,17,B
TASTY DUMPLING,MULBERRY STREET,high income,Manhattan,10013,Chinese,20,B
SIX HAPPINESS,2 AVENUE,high income,Manhattan,10021,Chinese,21,B
WING WAGON,FLATBUSH AVENUE,medium income,Brooklyn,11238,American,9,A
MIANSAI,CROSBY STREET,high income,Manhattan,10013,Coffee/Tea,10,A
GOURMET BAGEL,LEXINGTON AVENUE,high income,Manhattan,10065,Sandwiches,5,A
Los Cuatro Reyes,45TH AVE,low income,Queens,11355,Mexican,12,A
PIO PIO,CYPRESS AVENUE,low income,Bronx,10454,Peruvian,12,A
DORRIAN'S RED HAND RESTAURANT,2 AVENUE,high income,Manhattan,10028,Irish,9,A
THE DAKOTA BAR,WEST   72 STREET,high income,Manhattan,10023,American,10,A
TROPICAL 128,ELIZABETH STREET,high income,Manhattan,10013,American,12,A
SUBWAY,JEROME AVENUE,low income,Bronx,10453,Sandwiches,7,A
DIVE 75,WEST   75 STREET,high income,Manhattan,10023,American,10,A
JUICEADE,SOUTHERN BOULEVARD,low income,Bronx,10459,"Juice, Smoothies, Fruit Salads",10,A
J'S WONG,FRANKLIN AVENUE,medium income,Brooklyn,11238,Chinese,2,A
JUAN VALDEZ CAFE,EAST   57 STREET,high income,Manhattan,10022,Coffee/Tea,12,A
THE SUPPLY HOUSE,2 AVENUE,high income,Manhattan,10028,American,5,A
W & L RESTAURANT,KISSENA BLVD,low income,Queens,11355,Chinese,41,Z
WALNUT BUS STOP,EAST  134 STREET,low income,Bronx,10454,American,9,A
BELLE HARBOR YACHT CLUB,BEACH  126 STREET,medium income,Queens,11694,American,7,A
GITANO,VARICK STREET,high income,Manhattan,10013,American,7,A
SUSHI TIME,AUSTIN STREET,medium income,Queens,11375,Japanese,12,A
HUNDRED TASTE,MAIN STREET,low income,Queens,11355,Chinese,10,A
TOAD HALL,GRAND STREET,high income,Manhattan,10013,American,13,A
MINCA RAMEN FACTORY,EAST    5 STREET,medium income,Manhattan,10009,Japanese,23,B
CALACA OF BK,PUTNAM AVENUE,medium income,Brooklyn,11238,Mexican,4,A
MEL'S BURGER,2 AVENUE,high income,Manhattan,10021,American,9,A
CAFE OLE RESTAURANT,36 AVENUE,medium income,Queens,11101,Spanish,12,A
KOME WAZA,1 AVENUE,high income,Manhattan,10065,Hawaiian,3,A
KEKI MODERN CAKES,MOTT STREET,high income,Manhattan,10013,Bakery Products/Desserts,4,A
CASSANDRA'S BAKERY,EAST  167 STREET,low income,Bronx,10456,Bakery Products/Desserts,21,B
THE CAMPBELL,VANDERBILT AVENUE,high income,Manhattan,10017,American,7,A
AMMOS ESTIATORIO,VANDERBILT AVENUE,high income,Manhattan,10017,Greek,12,A
TANG'S GARDEN,3 AVENUE,high income,Manhattan,10021,Chinese,10,A
ESTANCIA 460,GREENWICH STREET,high income,Manhattan,10013,Latin American,7,A
RYAN'S DAUGHTER CAFE,EAST   85 STREET,high income,Manhattan,10028,Irish,5,A
FREDDIE & PEPPER'S PIZZA,AMSTERDAM AVENUE,high income,Manhattan,10023,Pizza,12,A
IZZY ROSE,GREENE AVENUE,medium income,Brooklyn,11238,African,10,A
GOTTA GETTA PIZZA,TOWNSEND AVENUE,low income,Bronx,10453,Pizza,5,A
JOE & THE JUICE,LEXINGTON AVENUE,high income,Manhattan,10028,"Juice, Smoothies, Fruit Salads",13,A
DUNKIN,EAST  138 STREET,low income,Bronx,10454,Donuts,7,A
AMBER,WEST   70 STREET,high income,Manhattan,10023,Chinese/Japanese,8,A
TALLGRASS BURGER,1 AVENUE,medium income,Manhattan,10009,Hamburgers,13,A
MCDONALD'S,WEBSTER AVENUE,low income,Bronx,10467,Hamburgers,10,A
AVE D PIZZERIA,AVENUE D,medium income,Manhattan,10009,Pizza,12,A
Raj's Indian Kitchen,QUEENS PLZ S,medium income,Queens,11101,Indian,2,C
PRET A MANGER,BROADWAY,high income,Manhattan,10025,Soups/Salads/Sandwiches,6,A
AMC THEATRES (LOEWS ORPHEUM),3 AVENUE,high income,Manhattan,10028,American,11,A
LE PAIN QUOTIDIEN,BROADWAY,high income,Manhattan,10010,Other,9,A
CHERRY TAVERN,EAST    6 STREET,medium income,Manhattan,10009,American,9,A
ROGERS,BEACH  116 STREET,medium income,Queens,11694,American,8,A
5 BURRO CAFE,AUSTIN STREET,medium income,Queens,11375,Mexican,4,A
16 HANDLES,2 AVENUE,high income,Manhattan,10028,Frozen Desserts,3,A
PARM,COLUMBUS AVENUE,high income,Manhattan,10023,Italian,11,A
HE NAN CUISINE,41ST AVE,low income,Queens,11355,Chinese,12,A
GOOD TASTE 666,MAIN ST,low income,Queens,11355,Chinese,22,B
BRONX DRAFTHOUSE,GERARD AVENUE,low income,Bronx,10452,American,10,A
FLOUR SHOP,LAFAYETTE STREET,high income,Manhattan,10013,Bakery Products/Desserts,12,A
METROPOLITAN MUSEUM ROOF TOP GARDEN CAFE,5 AVENUE,high income,Manhattan,10028,American,7,A
INTERNATIONAL BAR,1 AVENUE,medium income,Manhattan,10009,American,10,A
SHAKE SHACK,AUSTIN ST,medium income,Queens,11375,Hamburgers,4,A
XING SHENG,FEATHERBED LANE,low income,Bronx,10452,Chinese,11,A
SUBWAY,KISSENA BLVD,low income,Queens,11355,Sandwiches,13,A
MOCA ASIAN BISTRO,70 ROAD,medium income,Queens,11375,Asian/Asian Fusion,10,A
AMERICAN HERO & SUB'S,44 DRIVE,medium income,Queens,11101,Sandwiches,11,A
SEGUINE BAGEL BAKERY,AMBOY ROAD,medium income,Staten Island,10309,Sandwiches,13,A
HUDSON FOOD COURT,HUDSON STREET,high income,Manhattan,10013,American,13,A
PRET A MANGER,BROADWAY,high income,Manhattan,10003,Soups/Salads/Sandwiches,2,A
FOUR SEASONS HOTEL NEW YORK,EAST   57 STREET,high income,Manhattan,10022,American,5,A
CRUNCH PIT STOP,2 AVENUE,high income,Manhattan,10022,"Juice, Smoothies, Fruit Salads",2,A
NOCHES DE PALENQUE,SOUTHERN BOULEVARD,low income,Bronx,10455,Mexican,6,A
EATILY FOODS,PARK AVENUE,high income,Manhattan,10065,American,12,A
HUNAN DELIGHT,YORK AVENUE,high income,Manhattan,10075,Asian/Asian Fusion,12,A
THE GARRET EAST,AVENUE A,medium income,Manhattan,10009,American,16,B
Sushi Ann,EAST   51 STREET,high income,Manhattan,10022,Japanese,10,A
QUALITY EATS,2 AVENUE,high income,Manhattan,10075,American,12,A
DISHES,3 AVENUE,high income,Manhattan,10022,American,12,A
LENWICH,2 AVENUE,high income,Manhattan,10075,American,10,A
AVOCADO SUSHI,ARTHUR KILL ROAD,medium income,Staten Island,10309,Japanese,12,A
SUSHI ME,150TH ST,medium income,Queens,11357,Japanese,11,A
AGED,70TH RD,medium income,Queens,11375,Steakhouse,25,B
APPLEBEE'S,VETERANS ROAD WEST,medium income,Staten Island,10309,American,13,A
EMPIRE CHINESE RESTAURANT ZHENG,FEATHERBED LANE,low income,Bronx,10452,Chinese,5,A
NIALL'S ON 52ND,EAST   52 STREET,high income,Manhattan,10022,Irish,13,A
HER NAME WAS CARMEN,BROOME STREET,high income,Manhattan,10013,Peruvian,25,B
TUDOR CITY MARKETPLACE,EAST   42 STREET,high income,Manhattan,10017,American,13,A
CAFFE NAPOLI,HESTER STREET,high income,Manhattan,10013,Italian,13,A
SIMPSON THACHER AND BARTLET CAFE,LEXINGTON AVENUE,high income,Manhattan,10017,American,3,A
SATURDAYS SURF NYC,CROSBY STREET,high income,Manhattan,10013,Coffee/Tea,2,A
STARBUCKS,BROADWAY,high income,Manhattan,10024,Coffee/Tea,7,A
ATERA,WORTH STREET,high income,Manhattan,10013,American,11,A
WHITESTONE DINER,14 AVENUE,medium income,Queens,11357,American,11,A
MACARON CAFE,EAST   59 STREET,high income,Manhattan,10022,Coffee/Tea,12,A
CACHAPA CACHAPA,BATHGATE AVENUE,low income,Bronx,10457,Latin American,12,A
LA BOITE EN BOIS,WEST   68 STREET,high income,Manhattan,10023,French,12,A
SUSHI SEKI,1 AVENUE,high income,Manhattan,10065,Japanese,23,B
SUSHI TIME,AUSTIN STREET,medium income,Queens,11375,Japanese,8,A
BLUE MARBLE ICE CREAM,UNDERHILL AVENUE,medium income,Brooklyn,11238,Frozen Desserts,15,B
THE BAKERY ON BERGEN,BERGEN STREET,medium income,Brooklyn,11238,Bakery Products/Desserts,10,A
NEW CHINA RESTAURANT WANG,3 AVENUE,low income,Bronx,10455,Chinese,10,A
THE KATI ROLL COMPANY,3 AVENUE,high income,Manhattan,10017,Indian,9,A
JOE & THE JUICE AMSTERDAM AVE,AMSTERDAM AVENUE,high income,Manhattan,10024,"Juice, Smoothies, Fruit Salads",48,Z
RICO'S CHICKEN POLLOS A LA BRASA,45TH AVE,low income,Queens,11355,Latin American,10,A
SUBWAY,BROADWAY,high income,Manhattan,10018,Sandwiches,3,A
EL CALDERO RESTAURANT SPORT BAR,JEROME AVENUE,low income,Bronx,10452,Spanish,7,A
ALLORA,EAST   47 STREET,high income,Manhattan,10017,Italian,2,A
TOM'S RESTAURANT,WASHINGTON AVENUE,medium income,Brooklyn,11238,American,2,A
NO. 7,GREENE AVENUE,medium income,Brooklyn,11238,American,12,A
BAGEL BOBS ON YORK,YORK AVENUE,high income,Manhattan,10028,Bagels/Pretzels,11,A
UNO CHICAGO GRILL,COLUMBUS AVENUE,high income,Manhattan,10024,Pizza,2,P
BISTRO VENDOME,EAST   58 STREET,high income,Manhattan,10022,French,9,A
TOASTIES,3 AVENUE,high income,Manhattan,10022,American,19,B
CLIPPER COFFEE,CITY ISLAND AVENUE,medium income,Bronx,10464,Coffee/Tea,3,A
VENICE PIZZA,BOWNE STREET,low income,Queens,11355,Pizza,10,A
HANG SHING KITCHEN,METROPOLITAN AVENUE,medium income,Queens,11375,Chinese,9,A
L'ANGOLO RISTORANTE,DUANE STREET,high income,Manhattan,10013,Italian,13,A
OPHELIA,MITCHELL PLACE,high income,Manhattan,10017,American,10,A
BOBBY VAN'S STEAKHOUSE,EAST   54 STREET,high income,Manhattan,10022,Steakhouse,9,A
FULTON THAI RESTAURANT,FULTON STREET,medium income,Brooklyn,11238,Thai,12,A
SANDWICHERIE OF NEW YORK,EAST   42 STREET,high income,Manhattan,10017,American,8,A
INDAY 708,3 AVENUE,high income,Manhattan,10017,Caribbean,12,A
EVOLVE,EAST   58 STREET,high income,Manhattan,10022,American,13,A
THE STONEBRIDGE,14TH AVE,medium income,Queens,11357,Coffee/Tea,8,A
PARM,COLUMBUS AVENUE,high income,Manhattan,10023,Italian,9,A
GREEN GARDEN,154TH ST,medium income,Queens,11357,Chinese,11,A
VOTE FOR PEDRO,EAST   53 STREET,high income,Manhattan,10022,Mexican,11,A
TONY'S DI NAPOLI,3 AVENUE,high income,Manhattan,10065,Italian,4,A
T-SWIRL CREPE,AUSTIN ST,medium income,Queens,11375,Japanese,4,A
FUSION,STEINWAY STREET,medium income,Queens,11101,Latin American,0,A
SIDO FALAFEL & MORE,COLUMBUS AVENUE,high income,Manhattan,10023,Mediterranean,10,A
SHEARMAN & STERLING,LEXINGTON AVENUE,high income,Manhattan,10022,American,7,A
HUMMUS KITCHEN,2 AVENUE,high income,Manhattan,10028,Jewish/Kosher,12,A
IL CORTILE RESTAURANT,MULBERRY STREET,high income,Manhattan,10013,Italian,27,B
TAQUERIA LUPITA II,EAST TREMONT AVENUE,low income,Bronx,10460,Mexican,9,A
SUBWAY,QUEENS BOULEVARD,medium income,Queens,11104,Sandwiches,12,A
JAYA,BAXTER STREET,high income,Manhattan,10013,Asian/Asian Fusion,6,A
DON PANCHO'S STEAK HOUSE,BRUCKNER BOULEVARD,low income,Bronx,10454,Steakhouse,11,A
SAPID INDIAN RESTAURANT,WASHINGTON AVENUE,medium income,Brooklyn,11238,Indian,12,A
MELA'S CAFE,WASHINGTON AVENUE,low income,Bronx,10457,Spanish,9,A
KELLY'S,AVENUE A,medium income,Manhattan,10009,Irish,12,A
THE SIMONE,EAST   82 STREET,high income,Manhattan,10028,French,12,A
SUBWAY,QUEENS BOULEVARD,medium income,Queens,11104,Sandwiches,5,P
PARADISE ALLEY BAR,150 STREET,low income,Queens,11355,American,37,C
FOOD BO GARDEN RESTAURANT,EAST  163 STREET,low income,Bronx,10459,Chinese,12,A
CARIDAD SEAFOOD RESTAURANT,EAST TREMONT AVENUE,low income,Bronx,10457,Latin American,26,B
BLACK PRESS COFFEE,COLUMBUS AVENUE,high income,Manhattan,10023,Coffee/Tea,13,A
EMPELLON,MADISON AVENUE,high income,Manhattan,10022,Mexican,9,A
CAFE FRESCO,1 AVENUE,high income,Manhattan,10065,Sandwiches,10,A
ESSEN,MADISON AVENUE,high income,Manhattan,10017,Sandwiches,9,A
AMORINO,AMSTERDAM AVENUE,high income,Manhattan,10024,Frozen Desserts,2,A
RAKU IT'S JAPANESE II,WEST   76 STREET,high income,Manhattan,10023,Japanese,24,B
HAYATY,AVENUE A,medium income,Manhattan,10009,Middle Eastern,8,A
JOE & PAT'S,1 AVENUE,medium income,Manhattan,10009,Italian,13,A
EL RINCON DE LA VIEJA BAKERY AND RESTAURANT,BOWNE STREET,low income,Queens,11355,Latin American,13,A
MCDONALD'S,BROADWAY,high income,Manhattan,10019,Hamburgers,10,A
PIZZA PARK,FIRST AVENUE,high income,Manhattan,10065,Pizza,10,A
TEXAS ROTISSERIE,1 AVENUE,high income,Manhattan,10021,American,9,A
FIVE GUYS FAMOUS BURGERS AND FRIES,3 AVENUE,high income,Manhattan,10017,Hamburgers,8,A
JICAMA,LEXINGTON AVENUE,high income,Manhattan,10022,Italian,13,A
DOMINO'S,AMBOY ROAD,medium income,Staten Island,10309,Pizza,13,A
EL MACO RESTAURANT,JEROME AVENUE,low income,Bronx,10452,Latin American,3,C
UNITED NATIONS FEDERAL CREDIT UNION,44TH RD,medium income,Queens,11101,American,13,A
YUNSHANG RICE NOODLE HOUSE,BAYARD STREET,high income,Manhattan,10013,Chinese,10,A
CEETAY,ALEXANDER AVENUE,low income,Bronx,10454,Japanese,8,A
B CAFE,EAST   75 STREET,high income,Manhattan,10021,American,9,A
HIDEAWAY,DUANE STREET,high income,Manhattan,10013,American,12,A
BRANDED SALOON,VANDERBILT AVENUE,medium income,Brooklyn,11238,American,10,A
CASA ASIA,14 AVENUE,medium income,Queens,11357,Chinese/Japanese,11,A
PANDA EXPRESS,1 AVENUE,high income,Manhattan,10065,Chinese,13,A
CASSIANO'S PIZZA,3 AVENUE,high income,Manhattan,10022,Pizza,12,A
LUCKY STRIKE,GRAND STREET,high income,Manhattan,10013,American,19,B
HOP LEE RESTAURANT,MOTT STREET,high income,Manhattan,10013,Chinese,11,A
CONEJA JUICE BAR,EAST  174 STREET,low income,Bronx,10457,"Juice, Smoothies, Fruit Salads",9,A
GALAGALA NY RESTAURANT,EAST  175 STREET,low income,Bronx,10453,African,4,A
VISTAMAR RESTAURANT,CITY ISLAND AVENUE,medium income,Bronx,10464,Latin American,2,P
THE LOWELL,EAST   63 STREET,high income,Manhattan,10065,American,12,A
